date,close,osef,osef,osef,osef,close
24/04/2014,1.3833,1.3816,1.3841,1.3790,0.12%,1.3833
23/04/2014,1.3817,1.3804,1.3854,1.3799,0.09%,1.3817
22/04/2014,1.3805,1.3792,1.3824,1.3783,0.09%,1.3805
21/04/2014,1.3793,1.3808,1.3830,1.3785,-0.16%,1.3793
20/04/2014,1.3815,1.3815,1.3818,1.3811,0.00%,1.3815
18/04/2014,1.3815,1.3812,1.3823,1.3806,0.00%,1.3815
17/04/2014,1.3815,1.3815,1.3865,1.3809,-0.01%,1.3815
16/04/2014,1.3816,1.3812,1.3850,1.3802,0.01%,1.3816
15/04/2014,1.3814,1.3819,1.3833,1.3788,-0.05%,1.3814
14/04/2014,1.3821,1.3836,1.3863,1.3807,-0.19%,1.3821
13/04/2014,1.3847,1.3884,1.3884,1.3842,-0.27%,1.3847
11/04/2014,1.3885,1.3886,1.3905,1.3862,-0.02%,1.3885
10/04/2014,1.3888,1.3854,1.3898,1.3834,0.23%,1.3888
09/04/2014,1.3856,1.3794,1.3862,1.3778,0.43%,1.3856
08/04/2014,1.3796,1.3739,1.3811,1.3735,0.40%,1.3796
07/04/2014,1.3741,1.3695,1.3748,1.3688,0.28%,1.3741
06/04/2014,1.3703,1.3702,1.3704,1.3696,0.00%,1.3703
04/04/2014,1.3703,1.3718,1.3731,1.3671,-0.12%,1.3703
03/04/2014,1.3720,1.3766,1.3805,1.3697,-0.34%,1.3720
02/04/2014,1.3767,1.3791,1.3819,1.3751,-0.20%,1.3767
01/04/2014,1.3794,1.3767,1.3815,1.3766,0.17%,1.3794
31/03/2014,1.3771,1.3754,1.3806,1.3733,0.13%,1.3771
30/03/2014,1.3753,1.3752,1.3763,1.3745,0.00%,1.3753
28/03/2014,1.3753,1.3739,1.3772,1.3704,0.09%,1.3753
27/03/2014,1.3740,1.3780,1.3796,1.3727,-0.31%,1.3740
26/03/2014,1.3783,1.3825,1.3827,1.3775,-0.32%,1.3783
25/03/2014,1.3827,1.3837,1.3846,1.3748,-0.09%,1.3827
24/03/2014,1.3839,1.3791,1.3875,1.3759,0.30%,1.3839
23/03/2014,1.3797,1.3797,1.3806,1.3788,0.02%,1.3797
21/03/2014,1.3794,1.3777,1.3811,1.3764,0.11%,1.3794
20/03/2014,1.3779,1.3831,1.3844,1.3748,-0.39%,1.3779
19/03/2014,1.3833,1.3932,1.3934,1.3808,-0.72%,1.3833
18/03/2014,1.3934,1.3920,1.3941,1.3879,0.09%,1.3934
17/03/2014,1.3922,1.3909,1.3947,1.3877,0.09%,1.3922
16/03/2014,1.3909,1.3910,1.3916,1.3904,-0.04%,1.3909
