Date,Open,High,Low,Close,Volume,Adj Close
2005-02-15,120.80,121.43,120.68,121.13,43852700,98.95
2005-02-14,120.69,120.86,120.48,120.68,32432100,98.58
2005-02-11,119.70,121.04,119.46,120.77,53133000,98.66
2005-02-10,119.66,120.02,119.26,119.74,45858600,97.82
2005-02-09,120.42,120.49,119.25,119.31,55279400,97.46
2005-02-08,120.17,120.65,120.07,120.21,39263500,98.20
2005-02-07,120.25,120.52,119.96,120.07,45412000,98.08
2005-02-04,119.00,120.43,118.98,120.23,50024600,98.22
2005-02-03,119.06,119.16,118.57,118.96,48837100,97.18
2005-02-02,119.06,119.59,118.90,119.27,52468900,97.43
2005-02-01,118.25,119.08,118.10,118.91,49841200,97.14
2005-01-31,117.95,118.25,117.71,118.16,52532700,96.52
2005-01-28,117.49,117.55,116.61,117.43,60738900,95.93
2005-01-27,117.19,117.75,116.98,117.43,55878800,95.93
2005-01-26,117.32,117.60,117.04,117.23,57195100,95.76
2005-01-25,116.91,117.47,116.72,116.88,68245000,95.48
2005-01-24,117.09,117.34,116.37,116.55,58441900,95.21
2005-01-21,117.79,118.00,116.65,116.78,63160400,95.40
2005-01-20,117.89,118.20,117.29,117.50,72049300,95.99
2005-01-19,119.43,119.52,118.21,118.22,54378900,96.57
2005-01-18,118.05,119.62,117.95,119.47,57391700,97.59
2005-01-14,117.97,118.53,117.76,118.24,42032500,96.59
2005-01-13,118.64,118.73,117.50,117.62,55537500,96.08
2005-01-12,118.40,118.84,117.52,118.57,72720500,96.86
2005-01-11,118.64,118.74,117.99,118.18,63099700,96.54
2005-01-10,118.34,119.46,118.34,119.00,56563300,97.21
2005-01-07,118.97,119.23,118.13,118.44,55847700,96.75
2005-01-06,118.44,119.15,118.26,118.61,47814700,96.89
2005-01-05,118.74,119.25,118.00,118.01,65667300,96.40
2005-01-04,120.46,120.54,118.44,118.83,69167600,97.07
2005-01-03,121.56,121.76,119.90,120.30,55748000,98.27
2004-12-31,121.30,121.66,120.80,120.87,28648800,98.74
2004-12-30,121.40,121.57,121.04,121.13,21076900,98.95
2004-12-29,121.08,121.40,120.95,121.36,22650600,99.14
2004-12-28,120.64,121.33,120.60,121.18,23422900,98.99
2004-12-27,121.20,121.36,120.39,120.52,29944100,98.45
2004-12-23,120.87,121.28,120.66,120.77,25646100,98.66
2004-12-22,120.38,121.08,120.30,120.68,31500700,98.58
2004-12-21,119.60,120.48,119.46,120.39,33094200,98.35
2004-12-20,119.75,120.29,119.17,119.47,47187400,97.59
2004-12-17,119.46,119.97,119.16,119.44,70761900,97.57
2004-12-16,120.72,121.24,120.04,120.81,51641800,98.23
2004-12-15,120.70,121.11,120.31,120.88,46699200,98.28
2004-12-14,120.18,120.96,120.18,120.79,41500700,98.21
2004-12-13,119.76,120.40,119.35,120.37,38541000,97.87
2004-12-10,118.92,119.56,118.85,119.33,47828600,97.02
2004-12-09,118.14,119.46,117.73,119.21,60922800,96.92
2004-12-08,118.21,118.82,118.01,118.79,43895100,96.58
2004-12-07,119.49,119.62,118.04,118.10,52047200,96.02
2004-12-06,119.21,119.64,118.84,119.21,33030500,96.92
2004-12-03,119.31,120.14,119.09,119.25,49067900,96.96
2004-12-02,119.10,119.87,119.01,119.33,60163500,97.02
2004-12-01,118.16,119.50,118.10,119.23,49898300,96.94
2004-11-30,118.00,118.24,117.64,117.89,53685200,95.85
2004-11-29,118.79,119.01,117.48,117.81,61460800,95.79
2004-11-26,118.51,118.98,118.30,118.35,15487700,96.23
2004-11-24,118.27,118.59,118.05,118.44,29724800,96.30
2004-11-23,117.93,118.26,117.37,118.16,41968800,96.07
2004-11-22,117.17,118.12,117.03,117.98,37560200,95.92
2004-11-19,118.70,118.72,117.14,117.42,54276500,95.47
2004-11-18,118.53,118.80,118.23,118.74,31854300,96.54
2004-11-17,118.37,119.14,118.07,118.58,54494000,96.41
2004-11-16,118.36,118.41,117.73,117.88,40028700,95.84
2004-11-15,118.50,118.77,118.23,118.73,35297900,96.53
2004-11-12,117.97,119.00,117.68,118.79,55583700,96.30
2004-11-11,117.18,118.12,117.10,117.86,37863200,95.54
2004-11-10,117.06,117.55,116.76,116.97,45265400,94.82
2004-11-09,117.08,117.50,116.76,116.88,44658100,94.75
2004-11-08,116.98,117.23,116.72,117.11,33863800,94.94
2004-11-05,117.05,117.64,116.49,117.28,63287200,95.07
2004-11-04,114.78,116.67,114.68,116.55,55350300,94.48
2004-11-03,115.03,115.36,114.24,114.98,76960200,93.21
2004-11-02,113.67,114.57,113.22,113.55,56210000,92.05
2004-11-01,113.56,113.84,113.20,113.51,36720900,92.02
2004-10-29,113.12,113.64,112.90,113.20,48820200,91.77
2004-10-28,112.78,113.56,112.49,113.22,54413300,91.78
2004-10-27,111.38,113.10,111.12,112.88,73896000,91.51
2004-10-26,110.13,111.60,109.88,111.54,54337400,90.42
2004-10-25,109.75,110.12,109.35,109.86,43990900,89.06
2004-10-22,111.19,111.25,109.86,109.99,48752400,89.16
2004-10-21,110.79,111.32,110.21,111.24,53218300,90.18
2004-10-20,110.38,110.82,109.75,110.52,57118500,89.59
2004-10-19,112.02,112.23,110.59,110.74,55851900,89.77
2004-10-18,110.89,111.90,110.70,111.68,43535100,90.53
2004-10-15,111.02,111.74,110.57,111.26,63482200,90.19
2004-10-14,111.68,111.93,110.58,110.64,64082200,89.69
2004-10-13,113.00,113.07,111.32,111.54,54212600,90.42
2004-10-12,112.20,112.83,111.94,112.53,41754700,91.22
2004-10-11,112.78,113.02,112.64,112.97,20229100,91.58
2004-10-08,113.15,113.77,112.35,112.51,51872600,91.21
2004-10-07,114.38,114.40,113.36,113.45,39388800,91.97
2004-10-06,113.77,114.68,113.68,114.68,42297800,92.97
2004-10-05,113.85,114.16,113.54,113.90,36910600,92.33
2004-10-04,114.10,114.44,113.80,113.84,33082400,92.28
2004-10-01,112.26,113.65,112.21,113.65,62824300,92.13
2004-09-30,111.55,111.98,111.26,111.76,43536700,90.60
2004-09-29,111.21,111.85,111.00,111.84,33325700,90.66
2004-09-28,110.91,111.51,110.41,111.28,41662900,90.21
2004-09-27,111.10,111.20,110.58,110.75,39355100,89.78
2004-09-24,111.17,111.73,111.13,111.46,34981100,90.36
2004-09-23,111.60,111.70,110.95,110.95,44068700,89.94
2004-09-22,112.50,112.52,111.47,111.55,49042100,90.43
2004-09-21,112.75,113.47,112.54,112.96,40920800,91.57
2004-09-20,112.67,112.99,112.28,112.47,37149400,91.17
2004-09-17,112.95,113.36,112.69,113.15,33683000,91.73
2004-09-16,112.85,113.37,112.80,113.14,23911700,91.34
2004-09-15,113.30,113.36,112.68,112.80,38295000,91.06
2004-09-14,113.30,113.69,113.19,113.66,28048900,91.76
2004-09-13,113.31,113.74,113.01,113.43,44398100,91.57
2004-09-10,112.52,113.27,112.08,113.06,27900600,91.27
2004-09-09,112.57,112.88,112.03,112.48,34314800,90.80
2004-09-08,112.62,113.06,112.31,112.58,32963100,90.89
2004-09-07,112.54,113.13,112.32,112.86,37338800,91.11
2004-09-03,112.33,112.82,112.01,112.12,30480500,90.51
2004-09-02,111.24,112.70,111.24,112.58,42736600,90.89
2004-09-01,110.95,111.64,110.48,111.32,52778300,89.87
2004-08-31,110.66,111.16,110.10,111.11,44125300,89.70
2004-08-30,111.22,111.34,110.45,110.53,26726500,89.23
2004-08-27,111.20,111.63,111.05,111.45,24902900,89.97
2004-08-26,110.96,111.31,110.85,111.10,26629500,89.69
2004-08-25,110.33,111.27,109.90,111.10,38551400,89.69
2004-08-24,110.64,110.73,109.85,110.35,30453100,89.08
2004-08-23,110.55,110.77,110.05,110.20,33745100,88.96
2004-08-20,109.61,110.63,109.51,110.48,44870900,89.19
2004-08-19,109.81,110.02,109.18,109.71,39881600,88.57
2004-08-18,108.52,110.17,108.49,110.03,43165400,88.83
2004-08-17,108.75,109.28,108.53,108.91,40701600,87.92
2004-08-16,107.14,108.64,107.10,108.30,45731900,87.43
2004-08-13,107.10,107.35,106.59,107.19,41634700,86.53
2004-08-12,107.68,107.95,106.63,106.98,50015900,86.36
2004-08-11,107.68,108.33,107.10,108.16,52933200,87.32
2004-08-10,107.31,108.41,107.26,108.38,55870600,87.49
2004-08-09,107.02,107.48,106.87,107.00,37476300,86.38
2004-08-06,107.63,107.96,106.62,106.85,74729000,86.26
2004-08-05,110.29,110.38,108.27,108.40,50772000,87.51
2004-08-04,109.89,110.75,109.64,110.20,40763200,88.96
2004-08-03,110.93,111.06,110.16,110.21,40948800,88.97
2004-08-02,110.19,111.36,110.05,111.07,38263100,89.67
2004-07-30,110.32,110.90,110.10,110.84,41581700,89.48
2004-07-29,110.54,110.87,110.00,110.57,52200500,89.26
2004-07-28,109.55,110.37,108.59,110.10,65862300,88.88
2004-07-27,109.05,110.11,108.97,109.77,51295100,88.62
2004-07-26,109.19,109.43,108.21,108.75,49679100,87.79
2004-07-23,109.62,109.71,108.69,108.96,49610500,87.96
2004-07-22,109.36,110.39,108.77,109.88,72477100,88.71
2004-07-21,111.82,112.06,109.45,109.58,56241100,88.46
2004-07-20,110.53,111.90,110.25,111.64,46679800,90.13
2004-07-19,110.75,110.96,109.99,110.24,39592800,89.00
2004-07-16,111.57,111.67,110.44,110.71,40871200,89.38
2004-07-15,111.74,111.91,110.70,110.80,38403500,89.45
2004-07-14,111.26,112.39,111.12,111.52,54089400,90.03
2004-07-13,111.92,112.02,111.60,111.86,26752000,90.30
2004-07-12,111.52,112.04,111.00,111.78,35691300,90.24
2004-07-09,111.72,111.94,111.38,111.73,27412900,90.20
2004-07-08,111.81,112.32,111.20,111.44,45291100,89.96
2004-07-07,111.81,112.57,111.75,112.22,29839800,90.59
2004-07-06,112.37,112.45,111.63,111.89,38698200,90.33
2004-07-02,113.16,113.29,112.60,112.88,34615100,91.13
2004-07-01,114.25,114.40,112.58,112.94,57734700,91.18
2004-06-30,114.07,114.79,113.65,114.53,52230600,92.46
2004-06-29,113.53,114.17,113.42,113.92,28418100,91.97
2004-06-28,114.52,114.61,113.41,113.45,40824500,91.59
2004-06-25,114.41,114.94,113.68,113.84,32837900,91.90
2004-06-24,114.56,114.93,114.26,114.39,35272100,92.35
2004-06-23,113.61,114.84,113.42,114.75,35580000,92.64
2004-06-22,113.13,113.88,112.67,113.77,37334000,91.85
2004-06-21,113.75,114.14,113.13,113.20,25284000,91.39
2004-06-18,113.27,114.22,113.18,113.63,31799800,91.73
2004-06-17,113.85,114.07,113.33,113.83,28402400,91.56
2004-06-16,114.00,114.20,113.70,114.00,26633400,91.70
2004-06-15,113.90,114.45,113.51,114.02,37445000,91.71
2004-06-14,113.82,113.85,112.87,113.22,34633000,91.07
2004-06-10,114.04,114.35,113.93,114.35,21711000,91.98
2004-06-09,114.51,114.70,113.72,113.79,36737600,91.53
2004-06-08,114.37,114.92,114.17,114.86,32846500,92.39
2004-06-07,113.43,114.81,113.42,114.70,31643800,92.26
2004-06-04,112.98,113.58,112.71,112.98,32739500,90.88
2004-06-03,112.81,113.19,112.07,112.09,38688300,90.16
2004-06-02,113.03,113.48,112.46,113.13,39774200,91.00
2004-06-01,112.46,112.86,111.87,112.71,41044700,90.66
2004-05-28,112.73,112.88,112.36,112.86,23367200,90.78
2004-05-27,112.54,113.03,112.06,112.87,45306900,90.79
2004-05-26,111.66,112.29,111.51,112.24,35977000,90.28
2004-05-25,109.90,111.98,109.60,111.85,48668000,89.97
2004-05-24,110.53,110.76,109.68,110.27,40961500,88.70
2004-05-21,109.97,110.55,109.47,109.81,47480400,88.33
2004-05-20,109.45,109.87,109.04,109.62,38082900,88.17
2004-05-19,110.50,111.18,109.15,109.27,54804100,87.89
2004-05-18,109.49,109.94,109.33,109.65,30193100,88.20
2004-05-17,108.89,109.50,108.41,109.10,55020400,87.76
2004-05-14,109.95,110.74,109.27,110.04,54123100,88.51
2004-05-13,109.76,110.81,109.63,109.99,57393700,88.47
2004-05-12,109.57,110.54,108.06,110.45,90830500,88.84
2004-05-11,109.46,110.05,109.33,109.75,48300600,88.28
2004-05-10,109.44,109.75,108.36,108.83,75279400,87.54
2004-05-07,111.22,112.23,109.96,109.96,60950000,88.45
2004-05-06,112.02,112.59,111.00,111.81,54997000,89.94
2004-05-05,112.41,112.96,112.16,112.78,34405000,90.72
2004-05-04,112.25,113.26,111.66,112.06,51185100,90.14
2004-05-03,111.37,112.29,111.35,112.15,33758000,90.21
2004-04-30,112.17,112.38,110.90,110.96,48681400,89.25
2004-04-29,112.72,113.32,111.16,111.83,69687600,89.95
2004-04-28,113.89,114.01,112.50,112.82,50165800,90.75
2004-04-27,114.23,115.12,113.96,114.30,43485500,91.94
2004-04-26,114.50,114.94,113.60,114.20,35515200,91.86
2004-04-23,114.42,114.57,113.79,114.36,29395700,91.99
2004-04-22,112.48,114.67,112.44,114.25,62071500,91.90
2004-04-21,112.20,112.95,111.87,112.67,50177300,90.63
2004-04-20,114.08,114.32,111.78,111.92,53299400,90.02
2004-04-19,113.55,113.99,113.27,113.83,28277600,91.56
2004-04-16,113.38,114.05,112.98,113.83,47059200,91.56
2004-04-15,113.45,113.78,112.36,112.96,61602500,90.86
2004-04-14,112.61,113.64,112.55,113.39,62322300,91.21
2004-04-13,115.26,115.30,113.02,113.21,56210300,91.06
