date,close,osef,osef,osef,osef,close
13/10/2014,84.98,84.74,85.13,83.40,130,84.98
10/10/2014,85.82,84.39,86.29,83.59,396,85.82
09/10/2014,85.77,87.73,87.95,84.06,345,85.77
08/10/2014,87.31,88.43,88.63,86.83,373,87.31
07/10/2014,88.85,90.45,90.57,88.38,300,88.85
06/10/2014,90.34,89.77,90.74,88.76,276,90.34
03/10/2014,89.74,91.38,91.79,89.36,342,89.74
02/10/2014,91.01,90.74,91.54,88.18,449,91.01
01/10/2014,90.73,91.36,92.96,90.47,389,90.73
30/09/2014,91.16,94.34,94.90,90.86,429,91.16
29/09/2014,94.57,93.35,94.64,92.74,261,94.57
26/09/2014,93.54,92.47,93.86,92.23,258,93.54
25/09/2014,92.53,92.89,93.54,92.05,248,92.53
24/09/2014,92.80,91.72,93.29,91.12,282,92.80
23/09/2014,91.56,90.70,92.09,90.58,247,91.56
22/09/2014,90.87,91.69,91.92,90.41,229,90.87
19/09/2014,91.65,91.96,92.24,91.15,250,91.65
18/09/2014,91.98,92.82,93.60,91.81,168,91.98
17/09/2014,93.20,93.68,94.01,92.72,157,93.20
16/09/2014,93.81,91.91,94.12,91.52,149,93.81
15/09/2014,91.99,91.24,92.06,89.76,104,91.99
12/09/2014,91.37,92.09,92.66,91.12,127,91.37
11/09/2014,91.86,90.88,92.46,89.56,191,91.86
10/09/2014,90.84,91.95,92.18,90.36,120,90.84
09/09/2014,91.89,92.39,93.01,91.63,125,91.89
08/09/2014,92.05,92.92,93.03,91.22,119,92.05
05/09/2014,93.29,94.57,94.99,92.86,261,93.29
04/09/2014,94.45,95.07,95.39,94.16,254,94.45
03/09/2014,95.54,93.28,95.83,93.06,294,95.54
02/09/2014,92.88,95.81,95.91,92.68,320,92.88
01/09/2014,95.83,95.76,95.90,95.51,-,95.83
29/08/2014,95.96,94.56,96.00,94.48,234,95.96
28/08/2014,94.55,93.75,94.71,93.45,262,94.55
27/08/2014,93.88,93.88,94.24,93.36,174,93.88
26/08/2014,93.86,93.36,94.35,93.35,176,93.86
25/08/2014,93.35,93.34,93.95,93.05,137,93.35
22/08/2014,93.65,93.89,94.04,92.92,191,93.65
21/08/2014,93.96,93.49,94.45,92.50,226,93.96
20/08/2014,93.45,92.80,93.58,92.73,207,93.45
19/08/2014,92.86,93.85,94.37,92.62,277,92.86
18/08/2014,93.75,95.14,95.14,93.42,177,93.75
15/08/2014,95.32,93.93,95.38,93.91,195,95.32
14/08/2014,94.08,96.45,96.68,93.85,219,94.08
13/08/2014,96.74,96.31,96.88,95.84,128,96.74
12/08/2014,96.48,96.95,97.08,95.90,111,96.48
11/08/2014,97.21,96.66,97.67,96.55,114,97.21
08/08/2014,97.65,97.64,98.45,97.15,266,97.65
07/08/2014,97.34,96.89,97.72,96.55,286,97.34
06/08/2014,96.92,97.62,98.13,96.69,263,96.92
05/08/2014,97.38,98.41,98.67,97.00,242,97.38
04/08/2014,98.29,97.67,98.67,97.43,204,98.29
01/08/2014,97.88,97.70,98.10,97.09,274,97.88
31/07/2014,98.17,99.47,99.85,97.60,335,98.17
30/07/2014,100.27,101.03,101.67,99.42,263,100.27
29/07/2014,100.97,101.60,101.83,100.37,258,100.97
28/07/2014,101.67,101.87,102.10,100.90,197,101.67
25/07/2014,102.09,102.04,102.53,101.00,284,102.09
24/07/2014,102.07,103.20,103.31,101.88,194,102.07
23/07/2014,103.12,101.96,103.34,101.79,260,103.12
22/07/2014,102.39,102.77,103.45,101.90,252,102.39
21/07/2014,102.86,101.86,102.97,101.48,312,102.86
18/07/2014,101.95,102.77,102.98,101.65,217,101.95
17/07/2014,102.20,100.80,102.91,100.61,256,102.20
16/07/2014,100.60,99.73,100.92,99.60,161,100.60
15/07/2014,99.53,100.54,100.63,98.68,203,99.53
14/07/2014,100.48,100.05,100.78,99.72,151,100.48
11/07/2014,100.83,102.86,102.92,100.44,272,100.83
10/07/2014,102.93,101.95,103.00,101.55,238,102.93
09/07/2014,102.29,103.45,103.60,101.85,250,102.29
